#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
1.992 0.00181897 0.0376322
1.9944 0.00545692 0.0367417
1.9968 0.00363795 0.0354272
1.9992 0.00181897 0.0372081
2.0016 0.00363795 0.0365297
2.004 0.00181897 0.0378866
2.0064 0.00181897 0.0368053
2.0088 0 0.0365509
2.0112 0 0.0361057
2.0136 0.00181897 0.0376958
2.016 0.00181897 0.0376534
2.0184 0 0.0384378
2.0208 0.00181897 0.0374201
2.0232 0.00181897 0.0382258
2.0256 0.00181897 0.0372929
2.028 0.00181897 0.0373989
2.0304 0.00181897 0.0385862
2.0328 0.00181897 0.0371869
2.0352 0.00181897 0.0382894
2.0376 0.00181897 0.0376958
2.04 0.00181897 0.0379502
2.0424 0 0.037823
2.0448 0 0.0379502
2.0472 0.00181897 0.0369749
2.0496 0.00181897 0.0356604
2.052 0 0.0385014
2.0544 0.00181897 0.0389042
2.0568 0.00545692 0.0386922
2.0592 0 0.0389042
2.0616 0 0.0377382
2.064 0 0.0386922
2.0664 0 0.0381198
2.0688 0 0.0378442
2.0712 0 0.038565
2.0736 0 0.0382894
2.076 0 0.0398795
2.0784 0.00181897 0.0396887
2.0808 0 0.0375686
2.0832 0 0.038459
2.0856 0 0.0391162
2.088 0 0.0393071
2.0904 0 0.0405579
2.0928 0 0.0385862
2.0952 0 0.0387982
2.0976 0 0.0398583
2.1 0 0.0397947
2.1024 0 0.0399007
2.1048 0 0.0400703
2.1072 0 0.0414908
2.1096 0 0.0392435
2.112 0 0.0403247
2.1144 0 0.0395615
2.1168 0 0.0382894
2.1192 0 0.0404307
2.1216 0 0.0392435
2.124 0 0.0374838
2.1264 0 0.0411516
2.1288 0 0.041088
2.1312 0 0.0397099
2.1336 0 0.0402187
